$Unnamed: 0$State$Name$Total$Latitude$Longitude$Address
1$1$NCT OF DELHI$BURARI$253006$28.753882$77.194833$Burari, Dr. K B Hedgewar Marg, Delhi, Central Delhi, Delhi, 110084, India
2$2$NCT OF DELHI$TIMARPUR$178143$28.70071395$77.217322569022$Timarpur, Delhi, Central Delhi, Delhi, India
3$3$NCT OF DELHI$ADARSH NAGAR$150090$28.6141925$77.0715411848447$Adarsh Nagar, Bindapur, South West Delhi, Delhi, India
4$4$NCT OF DELHI$BADLI$204972$28.7337476$77.1440045$Badli, North Delhi, Delhi, India
5$5$NCT OF DELHI$RITHALA$229364$28.7207846$77.1071553$Rithala, Hotel Access, Sector 10, Rohini, North West Delhi, Delhi, 10089, India
6$6$NCT OF DELHI$BAWANA$282084$28.79966$77.0328847$Bawana, North Delhi, Delhi, India
7$7$NCT OF DELHI$MUNDKA$250420$28.6824063$77.0305753$Mundka, Rohtak Road, West Delhi, Delhi, 110041, India
8$8$NCT OF DELHI$KIRARI$225539$28.6813917$77.0535029$Kirari Suleman Nagar Drain, West Delhi, Delhi, 110086, India
9$9$NCT OF DELHI$SULTAN PUR MAJRA$164882$28.4958744$77.1606444$Sultanpur, Mehrauli, South Delhi, Delhi, 110070, India
10$10$NCT OF DELHI$NANGLOI JAT$224438$28.6787059$77.0671807$Nangloi, West Delhi, Delhi, 110041, India
11$11$NCT OF DELHI$MANGOL PURI$169099$28.6836393$77.0914022$Mangol Puri, Rohtak Road, West Delhi, Delhi, 110063, India
12$12$NCT OF DELHI$ROHINI$168215$28.7162092$77.1170743$Rohini, North West Delhi, Delhi, India
13$13$NCT OF DELHI$SHALIMAR BAGH$165302$28.71745265$77.1508665461741$Shalimar Bagh, North West Delhi, Delhi, 10089, India
14$14$NCT OF DELHI$SHAKUR BASTI$138242$28.68079985$77.1273398706355$Shakurbasti, Rohtak Road, West Delhi, Delhi, 110063, India
15$15$NCT OF DELHI$TRI NAGAR$151683$30.8789163$75.8100722$Triangle Link, Punjab Mata Nagar, Gurudev Nagar, Sunet, Ludhiana, Punjab, 141013, India
16$16$NCT OF DELHI$WAZIRPUR$153490$28.6800843$77.1702212399028$Wazirpur, North West Delhi, Delhi, India
17$17$NCT OF DELHI$MODEL TOWN$145085$28.7027391$77.1940059$Model Town, Mahatma Gandhi Marg, North Delhi, Delhi, 110007, India
18$18$NCT OF DELHI$SADAR BAZAR$156874$28.6597744$77.2116326$Sadar Bazar, Old Delhi, Delhi, Central Delhi, Delhi, 110006, India
19$19$NCT OF DELHI$CHANDNI CHOWK$108698$28.6562654$77.2299093$Chandni Chowk, Sadar Bazar, Old Delhi, Delhi, Central Delhi, Delhi, 110006, India
20$20$NCT OF DELHI$MATIA MAHAL$111228$28.647591$77.2352178$Matia Mahal, Old Delhi, Delhi, Central Delhi, Delhi, 110002, India
21$21$NCT OF DELHI$BALLIMARAN$134388$28.6531586$77.2254416$Ballimaran, Sadar Bazar, Old Delhi, Delhi, Central Delhi, Delhi, 110006, India
22$22$NCT OF DELHI$KAROL BAGH$155459$28.6529982$77.1890227$Karol Bagh, Delhi, Central Delhi, Delhi, 110005, India
23$23$NCT OF DELHI$PATEL NAGAR$158846$28.6600349$77.1565357$Patel Nagar, Shivaji Road, Widow Colony, West Delhi, Delhi, 110007, India
24$24$NCT OF DELHI$MOTI NAGAR$152595$28.6578419$77.1424425$Moti Nagar, Shivaji Road, Widow Colony, West Delhi, Delhi, 110007, India
25$25$NCT OF DELHI$MADIPUR$151940$28.6764434$77.1193526$Madipur, Rohtak Road, West Delhi, Delhi, 110063, India
26$26$NCT OF DELHI$RAJOURI GARDEN$149704$28.6490372$77.122743$Rajouri Garden, Shivaji Road, Widow Colony, West Delhi, Delhi, 110007, India
27$27$NCT OF DELHI$HARI NAGAR$153674$28.6296489$77.1119344$Hari Nagar, West Delhi, Delhi, 110064, India
28$28$NCT OF DELHI$TILAK NAGAR$136261$28.63964975$77.0940394634643$Tilak Nagar, West Delhi, Delhi, India
29$29$NCT OF DELHI$JANAKPURI$160884$28.6219272$77.0874757$Janakpuri, West Delhi, Delhi, 110058, India
30$30$NCT OF DELHI$VIKASPURI$295832$28.63841905$77.0708361468549$Vikaspuri, West Delhi, Delhi, India
31$31$NCT OF DELHI$UTTAM NAGAR$199396$28.6248301$77.0652972$Uttam Nagar East, Shivaji Road, Nawada, Vikaspuri, West Delhi, Delhi, 110059, India
32$32$NCT OF DELHI$DWARKA$181304$28.6149318$77.0227861$Dwarka, Old Palam Road, Nishat Park, Sector 14, Dwarka, South West Delhi, Delhi, 110078, India
33$33$NCT OF DELHI$MATIALA$311868$28.609631$77.0467536146921$Matiala, West Delhi, Delhi, India
34$34$NCT OF DELHI$NAJAFGARH$218724$28.612304$76.9823908$Najafgarh, South West Delhi, Delhi, 110043, India
35$35$NCT OF DELHI$BIJWASAN$171091$28.5348303$77.0534531$Bijwasan, South West Delhi, Delhi, India
36$36$NCT OF DELHI$PALAM$210086$28.5881627$77.0790906$Palam, South West Delhi, Delhi, 110045, India
